,date,Temperature,Humidity,Light,CO2
1,04-02-2015 17:51,23.18,27.272,426,721.25
2,04-02-2015 17:51,23.15,27.2675,429.5,714
3,04-02-2015 17:53,23.15,27.245,426,713.5
4,04-02-2015 17:54,23.15,27.2,426,708.25
5,04-02-2015 17:55,23.1,27.2,426,704.5
6,04-02-2015 17:55,23.1,27.2,419,701
7,04-02-2015 17:57,23.1,27.2,419,701.6666667
8,04-02-2015 17:57,23.1,27.2,419,699
9,04-02-2015 17:58,23.1,27.2,419,689.3333333
10,04-02-2015 18:00,23.075,27.175,419,688
11,04-02-2015 18:01,23.075,27.15,419,690.25
12,04-02-2015 18:02,23.1,27.1,419,691
13,04-02-2015 18:03,23.1,27.16666667,419,683.5
14,04-02-2015 18:04,23.05,27.15,419,687.5
15,04-02-2015 18:04,23,27.125,419,686
16,04-02-2015 18:06,23,27.125,418.5,680.5
17,04-02-2015 18:07,23,27.2,0,681.5
18,04-02-2015 18:08,22.945,27.29,0,685
19,04-02-2015 18:08,22.945,27.39,0,685
20,04-02-2015 18:10,22.89,27.39,0,689
21,04-02-2015 18:10,22.89,27.39,0,689.5
22,04-02-2015 18:11,22.89,27.39,0,689
23,04-02-2015 18:13,22.89,27.445,0,691
24,04-02-2015 18:14,22.89,27.5,0,688
25,04-02-2015 18:15,22.89,27.5,0,689.5
26,04-02-2015 18:16,22.79,27.445,0,689
27,04-02-2015 18:16,22.79,27.5,0,685.6666667
28,04-02-2015 18:17,22.79,27.5,0,687
29,04-02-2015 18:19,22.79,27.5,0,688
30,04-02-2015 18:20,22.745,27.5,0,670
31,04-02-2015 18:21,22.7,27.46333333,0,668.6666667
32,04-02-2015 18:22,22.7,27.5,0,670
33,04-02-2015 18:23,22.7,27.5,0,667
34,04-02-2015 18:23,22.66666667,27.42666667,0,664.5
35,04-02-2015 18:24,22.7,27.6,0,670
36,04-02-2015 18:26,22.6,27.42666667,0,670.3333333
37,04-02-2015 18:27,22.6,27.39,0,672
38,04-02-2015 18:28,22.6,27.35666667,0,658
39,04-02-2015 18:29,22.6,27.445,0,660.5
40,04-02-2015 18:29,22.6,27.42666667,0,658
41,04-02-2015 18:30,22.6,27.445,0,655
42,04-02-2015 18:32,22.6,27.445,0,654.25
43,04-02-2015 18:33,22.6,27.39,0,648
44,04-02-2015 18:34,22.5,27.32333333,0,648.6666667
45,04-02-2015 18:35,22.5,27.445,0,646
46,04-02-2015 18:36,22.5,27.5,0,646
47,04-02-2015 18:36,22.5,27.445,0,641.5
48,04-02-2015 18:38,22.39,27.29,0,639
49,04-02-2015 18:39,22.5,27.5,0,640
50,04-02-2015 18:40,22.39,27.34,0,630.5
51,04-02-2015 18:40,22.39,27.35666667,0,629.3333333
52,04-02-2015 18:42,22.39,27.5,0,632
53,04-02-2015 18:42,22.39,27.5,0,636.5
54,04-02-2015 18:43,22.39,27.5,0,627.5
55,04-02-2015 18:45,22.39,27.39,0,626
56,04-02-2015 18:46,22.39,27.5,0,625.5
57,04-02-2015 18:47,22.34,27.39,0,623.5
58,04-02-2015 18:48,22.39,27.46333333,0,624.6666667
59,04-02-2015 18:49,22.39,27.39,0,622
60,04-02-2015 18:49,22.29,27.39,0,621
61,04-02-2015 18:51,22.34,27.39,0,626.5
62,04-02-2015 18:52,22.29,27.39,0,622
63,04-02-2015 18:53,22.39,27.39,0,620
64,04-02-2015 18:53,22.29,27.39,0,621.5
65,04-02-2015 18:55,22.29,27.35666667,0,616.3333333
66,04-02-2015 18:55,22.29,27.34,0,609
67,04-02-2015 18:56,22.29,27.39,0,614
68,04-02-2015 18:58,22.29,27.34,0,613.5
69,04-02-2015 18:59,22.29,27.34,0,611
70,04-02-2015 19:00,22.29,27.39,0,612
71,04-02-2015 19:01,22.29,27.29,0,608
72,04-02-2015 19:01,22.29,27.29,0,605.5
73,04-02-2015 19:02,22.2675,27.315,0,608.5
74,04-02-2015 19:04,22.2,27.29,0,608.5
75,04-02-2015 19:05,22.245,27.29,0,602.5
76,04-02-2015 19:06,22.2,27.29,0,598
77,04-02-2015 19:07,22.2,27.29,0,595
78,04-02-2015 19:08,22.2,27.29,0,591
79,04-02-2015 19:08,22.245,27.245,0,591
80,04-02-2015 19:09,22.2,27.2,0,595
81,04-02-2015 19:11,22.2,27.29,0,594.3333333
82,04-02-2015 19:12,22.2,27.29,0,593.5
83,04-02-2015 19:13,22.2,27.29,0,592
84,04-02-2015 19:14,22.15,27.245,0,586.5
85,04-02-2015 19:14,22.2,27.2,0,586
86,04-02-2015 19:15,22.15,27.245,0,586
87,04-02-2015 19:17,22.2,27.245,0,584.5
88,04-02-2015 19:18,22.1,27.245,0,584.5
89,04-02-2015 19:19,22.1,27.2,0,585.5
90,04-02-2015 19:20,22.13333333,27.2,0,584.6666667
91,04-02-2015 19:21,22.2,27.2,0,577
92,04-02-2015 19:21,22.1,27.2,0,580
93,04-02-2015 19:23,22.125,27.2,0,582
94,04-02-2015 19:24,22.2,27.2,0,580
95,04-02-2015 19:25,22.1,27.15,0,578
96,04-02-2015 19:25,22.1,27.2,0,576.5
97,04-02-2015 19:27,22.1,27.2,0,580
98,04-02-2015 19:27,22.1,27.2,0,572.5
99,04-02-2015 19:28,22.1,27.2,0,567
100,04-02-2015 19:30,22.1,27.2,0,568
101,04-02-2015 19:31,22.1,27.2,0,574.5
102,04-02-2015 19:32,22.1,27.2,0,564.3333333
103,04-02-2015 19:33,22.1,27.2,0,563
104,04-02-2015 19:34,22.1,27.15,0,564.5
105,04-02-2015 19:34,22.06666667,27.16666667,0,566.3333333
106,04-02-2015 19:36,22.1,27.1,0,562
107,04-02-2015 19:37,22,27.1,0,565.5
108,04-02-2015 19:38,22,27.1,0,570
109,04-02-2015 19:38,22.05,27.15,0,562
110,04-02-2015 19:40,22,27.1,0,560
111,04-02-2015 19:40,22,27.1,0,558
112,04-02-2015 19:41,22,27.1,0,556
113,04-02-2015 19:43,22,27.1,0,557
114,04-02-2015 19:44,21.9175,27.1,0,556.5
115,04-02-2015 19:45,21.945,27.1,0,557.5
116,04-02-2015 19:46,21.92666667,27.1,0,555
117,04-02-2015 19:46,21.89,27.1,0,555
118,04-02-2015 19:47,21.89,27.1,0,553
119,04-02-2015 19:49,21.89,27.1,0,549.5
120,04-02-2015 19:50,21.89,27.1,0,548.5
121,04-02-2015 19:51,21.89,27.1,0,551.5
122,04-02-2015 19:52,21.89,27.1,0,548.5
123,04-02-2015 19:53,21.89,27.1,0,548
124,04-02-2015 19:53,21.89,27.1,0,547.5
125,04-02-2015 19:54,21.89,27.1,0,553
126,04-02-2015 19:56,21.84,27.1,0,547.5
127,04-02-2015 19:57,21.85666667,27.1,0,548.6666667
128,04-02-2015 19:58,21.79,27.1,0,540
129,04-02-2015 19:59,21.79,27.1,0,538
130,04-02-2015 19:59,21.79,27.1,0,542
131,04-02-2015 20:00,21.79,27.1,0,542
132,04-02-2015 20:02,21.79,27.1,0,538
133,04-02-2015 20:03,21.79,27.1,0,537.6666667
134,04-02-2015 20:04,21.79,27.1,0,537.5
135,04-02-2015 20:05,21.79,27.1,0,536
136,04-02-2015 20:06,21.745,27.1,0,534.5
137,04-02-2015 20:06,21.7,27.1,0,532.5
138,04-02-2015 20:08,21.76,27.1,0,530
139,04-02-2015 20:09,21.745,27.05,0,529.5
140,04-02-2015 20:10,21.79,27.05,0,531
141,04-02-2015 20:10,21.73,27,0,533.3333333
142,04-02-2015 20:12,21.745,27,0,531
143,04-02-2015 20:12,21.745,27,0,529
144,04-02-2015 20:13,21.745,27,0,528.5
145,04-02-2015 20:15,21.7,27,0,525
146,04-02-2015 20:16,21.7,27,0,528.5
147,04-02-2015 20:17,21.7,27,0,530.5
148,04-02-2015 20:18,21.7,26.89,0,528
149,04-02-2015 20:19,21.7,26.89,0,526
150,04-02-2015 20:19,21.7,26.89,0,530
151,04-02-2015 20:21,21.7,26.89,0,533.3333333
152,04-02-2015 20:22,21.7,26.89,0,529
153,04-02-2015 20:23,21.7,26.89,0,528
154,04-02-2015 20:23,21.7,26.89,0,526
155,04-02-2015 20:25,21.7,26.89,0,526
156,04-02-2015 20:25,21.7,26.79,0,521
157,04-02-2015 20:26,21.7,26.79,0,518
158,04-02-2015 20:28,21.7,26.79,0,515.5
159,04-02-2015 20:29,21.7,26.79,0,520
160,04-02-2015 20:30,21.7,26.7675,0,523.5
161,04-02-2015 20:31,21.7,26.79,0,525.5
162,04-02-2015 20:31,21.7,26.79,0,525.5
163,04-02-2015 20:32,21.7,26.79,0,514
164,04-02-2015 20:34,21.7,26.7,0,518
165,04-02-2015 20:35,21.7,26.7,0,518
166,04-02-2015 20:36,21.7,26.7,0,520
167,04-02-2015 20:37,21.6,26.7,0,521
168,04-02-2015 20:38,21.6,26.6,0,518
169,04-02-2015 20:38,21.6,26.65,0,517
170,04-02-2015 20:39,21.6,26.6,0,511.5
171,04-02-2015 20:41,21.65,26.65,0,514
172,04-02-2015 20:42,21.6,26.55,0,515.5
173,04-02-2015 20:43,21.6,26.5,0,517
174,04-02-2015 20:44,21.6,26.5,0,515
175,04-02-2015 20:44,21.6,26.5,0,512
176,04-02-2015 20:45,21.6,26.5,0,515
